1.750000000000000000e+02,1.700000000000000000e+02,1.680000000000000000e+02
1.478115262567586683e+02,1.459931168980153871e+02,1.393245382585751884e+02
1.261211393174143325e+02,1.244906987382914565e+02,1.185178048050347854e+02
1.094595492699416184e+02,1.080010333708827375e+02,1.034205707688247315e+02
9.715289895069145132e+01,9.584326987994784020e+01,9.246611335468813309e+01
8.817553181577652310e+01,8.697972439236062314e+01,8.451762842358637329e+01
8.165121496091022379e+01,8.053927250433360996e+01,7.875025809099275875e+01
7.691495134893990837e+01,7.586413891776143714e+01,7.456549069926914797e+01
7.347785700618061355e+01,7.247146061839397646e+01,7.152904997968077794e+01
7.098381627695370355e+01,7.000966103834765875e+01,6.932582782166811342e+01
6.917413289125474307e+01,6.822337448490605993e+01,6.772718377561670877e+01
