1.750000000000000000e+02,1.700000000000000000e+02,1.680000000000000000e+02
1.480217310717065686e+02,1.462105082023632008e+02,1.393245382585751884e+02
1.263839897507663466e+02,1.247553490218453192e+02,1.185178048050347854e+02
1.097340741192938935e+02,1.082759573455683579e+02,1.034205707688247315e+02
9.742996931049435716e+01,9.612042726574907192e+01,9.246611335468813309e+01
8.845315579845549792e+01,8.725736730231740523e+01,8.451762842358637329e+01
8.192895930468715449e+01,8.081702096301985705e+01,7.875025809099275875e+01
7.719272185844724277e+01,7.614191032182367280e+01,7.456549069926914797e+01
7.375563320389929345e+01,7.274923701058142456e+01,7.152904997968077794e+01
7.126159371124036568e+01,7.028743851491014993e+01,6.932582782166811342e+01
6.945191059436052683e+01,6.850115219720224502e+01,6.772718377561670877e+01
